"Selected items1"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"	"2014-15"	"2015-16"
"PSI – where Australian business number not quoted"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	970	920	"920"	895	960	998	937	911	798	1192
"PSI – where Australian business number not quoted"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4820159	5844609	"5582969"	6211951	7469488	9345579	8217001	12247931	7485167	12377944
"PSI – labour hire or other specified payments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28475	33250	"31350"	40295	50105	54600	52334	51496	58416	69237
"PSI – labour hire or other specified payments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	492537344	585570183	"643217533"	855705268	1146726750	1387604332	1425395290	1347446221	1418793850	1522275192
"PSI – other"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62510	68600	"69080"	73520	77280	79647	78543	79874	78445	88298
"PSI – other"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1212655079	1434896662	"1516273784"	1646717246	1786558670	1917425260	1966748815	2000267791	2040389564	2137873607
"PSI – deductions for payments to associates for principal work"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2670	2790	"2560"	2910	3045	3124	2812	2921	3145	5389
"PSI – deductions for payments to associates for principal work"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15649646	18223510	"19259501"	19294910	21563235	22069653	19963264	22401115	24364478	38991360
"PSI – total amount of other deductions against PSI"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56290	60465	"59870"	63340	66405	68136	65391	65283	65466	65814
"PSI – total amount of other deductions against PSI"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	257850381	289375627	"298686976"	327487533	338880701	363624749	377535979	390839206	426350258	425497095
"Net PSI"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41780	54860	64995	79195	86020	90440	97015	107380	"105355"	118210	131525	138180	134174	134692	139853	160885
"Net PSI"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	516970494	724220339	962234648	1201255813	1357356672	1485011568	1643938073	1917758597	"2034210312"	2336342751	2754947798	3105913869	3149113426	3089310161	3154144840	3341714146
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Sold goods or services using the internet"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32326	33351	34712	38705	42987
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Business income and expenses"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Business income"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Gross payments where Australian business number not quoted – primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	590	520	510	505	435	475	390	365	"405"	370	340	320	146	390	159	322
"Gross payments where Australian business number not quoted – primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6401737	8053133	5785060	6035991	6151998	6525681	9345449	9546198	"8101117"	7175807	12958008	11311843	3034738	3370207	2277366	4092976
"Gross payments where Australian business number not quoted – non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5700	4240	3965	3875	3705	3385	3125	2720	"2540"	2535	2515	2414	1399	1305	1149	1275
"Gross payments where Australian business number not quoted – non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	105270645	109554457	117998885	119277942	118281556	121854439	107668999	97609161	"95582671"	97239887	95449434	92398794	31347732	25450518	24670075	21569570
"Total gross payments where Australian business number not quoted"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3490	3055	"2915"	2875	2825	2706	1536	1681	1305	1594
"Total gross payments where Australian business number not quoted"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	117014448	107155359	"103683788"	104415694	108424845	103741288	34382470	28820294	27096479	25684227
"Gross payments subject to foreign resident withholding – non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	330	220	485	615	"735"	710	815	893	1165	1061	1009	1146
"Gross payments subject to foreign resident withholding – non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23705105	13687043	29220266	52572308	"54479926"	43150231	39081469	48733866	61817612	99073057	62864423	91279636
"Total gross payments subject to foreign resident withholding"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	490	615	"740"	715	795	891	1166	1062	1009	1146
"Total gross payments subject to foreign resident withholding"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39596250	52580655	"54604326"	43162991	38390650	48457689	61819814	99099622	62864423	91124836
"Gross payments – voluntary agreement – primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	615	580	605	585	510	450	420	425	"380"	360	320	293	250	259	230	329
"Gross payments – voluntary agreement – primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18671084	15435260	15802874	14450098	13610364	12496875	11750671	12890986	"11081611"	11098655	10640354	9906003	8084764	8954378	8589036	11193410
"Gross payments – voluntary agreement – non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24875	18360	14490	12525	11550	10240	9225	8515	"7315"	6480	5655	4875	3788	3397	3120	3190
"Gross payments – voluntary agreement – non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	654207755	525643084	434670506	393358213	397969495	370991585	352907709	333648149	"303415922"	267342659	248952018	230922330	180992298	162832254	146409998	142682737
"Total gross payments – voluntary agreement"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9635	8930	"7690"	6835	5965	5157	4024	3642	3334	3514
"Total gross payments – voluntary agreement"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	364658380	346539135	"314497533"	278441314	259533697	240806971	188517062	171794118	155148514	153930701
"Gross payments – labour hire or other specified payments – primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	215	155	215	275	195	255	255	320	"295"	330	355	323	290	353	379	2284
"Gross payments – labour hire or other specified payments – primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3235359	2233361	2714435	3618062	3125923	5269983	4819914	5296628	"4934428"	6873166	5562719	5281678	5333001	6666461	7431429	39876280
"Gross payments – labour hire or other specified payments – non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7880	6705	6745	7070	7030	7000	6675	7205	"6730"	8030	8540	8052	6263	5731	5682	8849
"Gross payments – labour hire or other specified payments – non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	151899907	126162809	131365334	145172134	146598150	160379039	160722638	173963263	"161587165"	186452783	217038552	225323577	179659337	152936094	156065824	203688357
"Total gross payments – labour hire or other specified payments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6925	7515	"7020"	8355	8890	8371	6547	6067	6049	11092
"Total gross payments – labour hire or other specified payments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	165542552	179259891	"166521593"	193325949	222952909	230753856	184908982	159706188	163701382	243815929
"Assessable government industry payments – primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5955	6210	7085	10445	10550	11340	11775	11940	12430	13880	15305	"13665"	14110	14585	15311	17115	17549	17526	14990
"Assessable government industry payments – primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18696377	19182579	24491260	53870561	67811633	62799203	65536021	68820858	83768760	95638796	125923510	"87044418"	80901856	79896120	89741884	96630284	124254033	125945144	81680581
"Assessable government industry payments – non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3960	3135	3055	10465	9460	10530	10800	11265	11200	12985	15425	"15655"	16815	17575	17350	17501	18137	17279	12737
"Assessable government industry payments – non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71675015	67535266	69192989	260765258	249998127	309698920	288331994	238878468	231282203	246447034	286975211	"242694395"	310986066	344867915	234574078	296413557	292516058	273903536	166014152
"Total assessable government industry payments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3855	NA	9305	10105	20815	19895	21720	22425	23055	23475	26695	30515	"29125"	30730	31935	32422	34395	35407	34545	27517
"Total assessable government industry payments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24868928	90371392	86717845	93684249	314635819	317809760	372498123	353868015	307699326	315050963	342085830	412898721	"329738813"	391887922	424936384	324291395	393599466	417201239	400491362	247686113
"Other business income – primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85155	87385	"82185"	84435	79320	78235	82611	81079	78319	76546
"Other business income – primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4139779776	4515748132	"4523893896"	4514714432	4888975428	8149988512	4759139087	5092922630	5589882855	5775458773
"Other business income – non-primary production"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	969555	1012845	"1003020"	1043735	1068360	1076902	1087735	1117522	1143618	1125839
"Other business income – non-primary production"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93937413030	106564125489	"100001924838"	107879765520	104617538658	105077118409	103719793303	102295852573	103066667844	102343345115
"Total other business income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1041465	1086570	"1072095"	1114920	1135160	1142900	1158083	1186554	1210453	1191587
"Total other business income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98077192806	111079873621	"104525818734"	112394479952	109379436927	113094260411	108081823146	107490722758	108570251582	111894038405
"Total business income primary production2"	"no."	NA	NA	112135	110230	111460	108875	107165	113420	109345	115540	117875	121010	117160	108015	109860	110800	103970	103660	101845	99985	99515	95160	90040	88645	87450	89290	88930	89610	88820	91405	"84480"	87280	82165	81181	86548	85301	82050	80551
"Total business income primary production2"	"$"	NA	NA	1389415000	1389070000	1263709000	1579008000	1540491000	1847113000	1.985e+09	2.356e+09	2.467e+09	2.269e+09	1.849e+09	2.082e+09	2.382e+09	2.643e+09	2.645e+09	2841849368	2837366716	2890478805	2986483488	3216512316	3695242604	4242291376	3851087316	4009918644	4171668954	4314737452	4261442830	4669413801	"4635179870"	4628362519	4999120589	4932147097	4874282619	5239312019	5736727828	5911070906
"Total business income non-primary production2"	"no."	NA	NA	301680	315305	325100	NA	397370	423825	438240	495585	549385	577515	585815	616725	675085	714170	734175	780405	772480	783075	834380	886490	782555	812715	852915	890925	919050	949110	987360	1030555	"1019250"	1063130	1084525	1091856	1101087	1130778	1155952	1138295
"Total business income non-primary production2"	"$"	NA	NA	5769025000	6214832000	7056817000	NA	9704155000	15219968000	1.6263e+10	1.8692e+10	2.0826e+10	2.1302e+10	2.0021e+10	2.4982e+10	2.8552e+10	3.1379e+10	3.3312e+10	37651763605	38904295111	40859349201	44878883728	53637294490	51671615559	57548839446	63831305939	70889836214	79178249845	86303408403	94844647436	107508893581	"100859684917"	109089249921	105346427254	105810964475	104048142392	103010448390	103592205869	102957369206
"Total business income2"	"no."	318925	383250	396100	408715	360730	467980	489245	520020	533285	596355	651825	682165	685885	NA	768620	808485	822230	866235	853940	866370	916915	965630	859090	887990	927155	966440	994305	1024910	1062630	1107965	"1090395"	1136895	1154090	1160741	1174936	1203733	1226249	1207735
"Total business income2"	"$"	4436838000	6525294000	7158024000	7603900000	8320526000	10133586000	11245877000	17067083000	1.8248e+10	2.1047e+10	2.3293e+10	2.3571e+10	2.1871e+10	2.7064e+10	3.0933e+10	3.4022e+10	3.5957e+10	40420701631	41486917803	43768697359	47865367216	56853806806	55366858163	61791130822	67682393255	74899754858	83349918799	90618145855	99106090266	112178307382	"105494864787"	113717612440	110377271067	110768963682	108920241070	108235258713	109337004397	108869696891
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Business expenses"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Opening stock"	"no."	86320	NA	100160	98990	96980	97130	98110	120540	120895	125640	108815	105780	118765	129315	133550	138950	139760	149070	144890	149460	145950	143330	132755	130275	128965	128995	129650	129450	128770	128020	"126050"	127600	129215	127866	125973	124159	121050	115144
"Opening stock"	"$"	373009000	604609000	670365000	708217000	739144000	762289000	848999000	1066773000	1.147e+09	1.349e+09	1.308e+09	1.438e+09	1.566e+09	1.661e+09	1.775e+09	1.947e+09	2.071e+09	2369744805	2528627759	2587877511	2632264430	3008224562	3350585838	3745345676	3744278516	3915204061	4371047745	4688764499	5193503946	5970969523	"5999366456"	5529471533	5845339159	5956672503	5629791116	5422695653	5096407461	4840929429
"Purchases and other costs"	"no."	79890	94695	92140	91340	84985	91360	93355	152460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	212605	217540	222165	229725	236610	242200	246995	248955	255275	"249055"	256805	257570	255903	250179	251711	255706	250693
"Purchases and other costs"	"$"	1769185000	2537786000	2716362000	2836287000	2888305000	3349261000	3707685000	4919948000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18261727941	17916241849	20197266222	22471505681	26001578069	31137254608	34824237305	38300223057	45662239539	"38617754565"	43297223581	37466601098	36234126736	29957984572	29366720870	28395699870	29060812181
"Closing stock - cost"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	118273	115612	110209
"Closing stock - cost"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4372766027	4393581877	4289856999
"Closing stock - market selling value"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9234	8903	8431
"Closing stock - market selling value"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	786309904	699242880	726489222
"Closing stock - replacement value"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1412	1424	1492
"Closing stock - replacement value"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40227039	43643963	39968796
"Closing stock - blank"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	675	589	372
"Closing stock - blank"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	154061254	27110306	38105450
"Total closing stock"	"no."	87730	105165	101845	101140	99005	101195	102790	126670	128000	132995	114720	115095	129180	133695	147545	152360	150340	158830	153180	155790	151810	149605	139460	136820	136185	137775	137905	136970	136200	136230	"133445"	135095	134440	132890	130973	129594	126528	120504
"Total closing stock"	"$"	440705000	698495000	734172000	753990000	753027000	870264000	966557000	1167258000	1.284e+09	1.44e+09	1.431e+09	1.512e+09	1.604e+09	1.636e+09	1.897e+09	2.094e+09	2.172e+09	2505137504	2459320997	2611004686	2808723138	3335937451	3529686684	3989250642	3880215344	4384030843	4772713462	5176072722	5814814899	6136621509	"5637044740"	5740355523	5853913699	5546687483	5461458348	5353364224	5163579026	5094420467
"Cost of sales"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	180030	191195	144510	156970	173110	212035	231400	242225	236375	243825	234970	238100	234155	240495	241920	244685	253255	258455	263865	268115	270655	275295	"269105"	276470	277305	275293	271273	273489	276782	270030
"Cost of sales"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	5.51e+09	6.29e+09	5.466e+09	6.663e+09	6.782e+09	7.774e+09	9.073e+09	9.968e+09	1.0044e+10	11457043415	11758971396	12723014024	13666200112	17934004102	17737141003	19953361256	22335568853	25532751287	30735588891	34336929082	37678912104	45496587553	"38980076281"	43086482471	37458026558	36644111756	30126317340	29436052298	28328528305	28807321143
"Foreign resident withholding expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	165	60	80	180	"265"	450	425	455	559	661	646	558
"Foreign resident withholding expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3718143	1669457	2349674	6053571	"9169738"	12932153	8818619	12538858	8500750	10908849	13708903	9764075
"Contractor, subcontractor and commission expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48175	48815	72790	74005	74025	71190	75245	77435	80765	84940	89575	91790	97770	104150	110525	114795	120375	123275	127735	"126185"	132620	135150	135063	138780	142354	144628	142960
"Contractor, subcontractor and commission expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.34e+08	6.34e+08	1.102e+09	1.157e+09	1.193e+09	1.181e+09	1261216744	1286978118	1305026117	1358539347	1548260514	1523033412	1763954007	2007476037	2279963217	2482191876	2699594802	2946797365	3275753452	"3197292197"	3371586295	3582491122	3569531360	3517733551	3664140081	3823939518	3803920483
"Superannuation expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56125	67105	66305	69750	68285	70475	70420	72240	69925	71350	73600	78490	78615	79270	80975	82140	"77520"	76875	77040	75885	75151	76493	77642	76795
"Superannuation expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33e+08	1.64e+08	1.75e+08	230689671	242843589	270353230	308066812	328910502	350832945	388508851	431892310	464794510	483081073	574469979	714638088	750595987	"728919443"	634740886	647205260	649640317	585863247	626619105	684151576	682073222
"Bad debts"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7015	7390	8150	8870	9070	9330	9190	9965	9540	9600	9280	9445	9380	9400	9270	9430	"9375"	9410	9855	10043	10394	10764	10346	10071
"Bad debts"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4e+07	2.5e+07	3e+07	33742765	35376624	31047598	37370003	43820253	39874058	37778805	37757902	41911993	52515439	47045620	47331332	61806281	"56095281"	62772514	65203315	61653608	64253452	72502313	59150566	53632065
"Lease expenses"	"no."	NA	53810	56680	53185	53600	NA	NA	NA	NA	NA	NA	NA	NA	NA	40420	46165	46495	49930	50020	53135	56680	58520	54345	54150	53095	52405	51765	43725	42025	40375	"36515"	33595	31560	29265	27358	26560	25512	23457
"Lease expenses"	"$"	NA	155412000	188736000	202970000	217830000	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.55e+08	2.72e+08	2.79e+08	321308631	342821695	365656379	396432895	418008029	390452475	378915365	374657313	370618374	375298492	362265033	368115198	382709262	"422273313"	342691732	393082215	322682151	315008640	307035223	295833418	271879931
"Rent expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132305	141160	142270	158020	157560	162305	165330	171275	163380	166800	171565	177810	181210	183150	186270	189955	"182920"	185440	189495	193589	197656	205991	210781	200968
"Rent expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.89e+08	1.067e+09	1.121e+09	1294201056	1330329790	1378045518	1418481260	1530535222	1591980894	1695585134	1826057978	1971099193	2087669734	2207302421	2365429034	2536351205	"2617987514"	2733848831	2873872395	2981940746	3056101820	3170182572	3242505070	3117248407
"Interest expenses within Australia"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	210525	207535	217095	210275	213240	219780	228090	237360	242955	247340	249180	"235475"	231095	224070	216481	207571	203104	197006	184548
"Interest expenses within Australia"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	929279244	894226296	982967171	1067528407	1046034671	1130468963	1267598488	1447069562	1632149668	1889399732	2181803634	"2089566953"	1907819230	2071768786	2007422941	1799523756	1633774501	1520175499	1341224073
"Interest expenses overseas"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	855	170	305	360	NA	NA	3840	2950	3390	4205	4310	4265	4130	4765	4775	5630	6000	"5730"	5570	5575	5203	4913	4605	4487	4283
"Interest expenses overseas"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4e+06	2e+06	2e+06	3e+06	NA	NA	18757951	13921653	15894657	21539270	20382469	20089743	20790744	25658203	28535318	38475974	52480274	"49691859"	40771397	44357255	46273646	43542424	43530532	49364824	43009165
"Depreciation expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	733530	NA	NA	NA	371045	431935	434835	476865	509385	526590	564185	553975	566510	574845	592100	547670	550370	571250	596325	616435	632200	644240	655150	"649575"	661060	660170	651031	629449	597020	600277	545336
"Depreciation expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	901504000	NA	NA	NA	8.5e+08	9.13e+08	8.95e+08	9.95e+08	1.114e+09	1.23e+09	1409687056	1435218865	1511500682	1579120513	1762994436	1657992365	1828524862	1948516587	2108112383	2292785847	2454335928	2595238332	2720107110	"2777075912"	2944030898	2933299655	2883573345	3287794606	2841892868	3317412187	3547806648
